Tick,Best Score,Average Score
0.0,41,-246.068
1.0,41,-222.192
2.0,41,-210.144
3.0,51,-200.672
4.0,51,-184.124
5.0,51,-169.848
6.0,51,-159.456
7.0,92,-141.792
8.0,92,-131.456
9.0,92,-123.304
10.0,92,-113.624
11.0,107,-98.66
12.0,107,-86.9
13.0,107,-80.504
14.0,107,-71.736
15.0,111,-65.36
16.0,111,-50.688
17.0,159,-40.372
18.0,159,-31.276
19.0,159,-19.02
20.0,159,-12.652
21.0,159,-11.428
22.0,159,-7.172
23.0,159,-4.404
24.0,159,-3.836
25.0,159,-2.952
26.0,159,-1.32
27.0,159,-0.856
28.0,159,-0.42
29.0,159,0.816
30.0,159,0.956
31.0,159,1.996
32.0,159,2.48
33.0,159,2.556
34.0,159,3.004
35.0,159,3.248
36.0,159,3.368
37.0,159,3.828
38.0,159,4.668
39.0,159,5.864
40.0,159,7.404
41.0,159,8.116
42.0,159,8.316
43.0,159,8.656
44.0,159,9.396
45.0,159,10.308
46.0,159,10.48
47.0,159,10.596
48.0,159,10.604
49.0,159,10.956
50.0,159,11.204
51.0,159,11.508
52.0,159,12.044
53.0,159,12.324
54.0,159,13.032
55.0,159,13.392
56.0,159,14.128
57.0,159,14.332
58.0,159,14.412
59.0,159,14.596
60.0,159,14.748
61.0,161,15.632
62.0,161,16.484
63.0,161,16.564
64.0,161,17.432
65.0,161,17.52
66.0,161,17.52
67.0,161,17.624
68.0,161,17.624
69.0,161,17.844
70.0,161,18.22
71.0,161,18.372
72.0,161,18.536
73.0,161,18.536
74.0,161,18.752
75.0,161,18.988
76.0,161,19.476
77.0,161,19.776
78.0,161,19.98
79.0,176,20.724
80.0,176,21.068
81.0,176,21.492
82.0,176,21.5
83.0,176,21.5
84.0,176,21.5
85.0,176,21.808
86.0,176,21.892
87.0,176,21.948
88.0,176,21.948
89.0,176,22.116
90.0,176,22.6
91.0,176,22.6
92.0,176,22.6
93.0,176,23.124
94.0,176,23.644
95.0,176,24.004
96.0,176,24.188
97.0,176,24.284
98.0,176,24.68
99.0,176,25.328
100.0,176,25.46
101.0,176,25.864
102.0,176,26.096
103.0,176,26.1
104.0,176,26.788
105.0,176,26.908
106.0,176,26.908
107.0,176,26.908
108.0,176,26.908
109.0,176,26.928
110.0,202,27.736
111.0,202,27.736
112.0,202,27.824
113.0,202,27.824
114.0,202,27.892
115.0,211,28.568
116.0,211,28.588
117.0,211,28.628
118.0,211,28.628
119.0,211,29.044
120.0,211,29.076
121.0,211,29.52
122.0,211,29.66
123.0,211,30.0
124.0,211,30.04
125.0,211,30.164
126.0,211,30.164
127.0,211,30.164
128.0,211,30.204
129.0,211,30.204
130.0,211,30.204
131.0,211,30.64
132.0,211,30.64
133.0,211,30.64
134.0,211,30.84
135.0,211,30.84
136.0,211,30.84
137.0,211,30.84
138.0,211,31.0
139.0,211,31.0
140.0,211,31.0
141.0,211,31.096
142.0,211,31.612
143.0,211,31.612
144.0,211,31.612
145.0,211,31.764
146.0,211,31.764
147.0,211,31.764
148.0,211,31.764
149.0,211,31.764
150.0,211,31.764
151.0,211,31.764
152.0,211,31.764
153.0,211,31.764
154.0,211,31.764
155.0,211,31.764
156.0,211,31.764
157.0,211,31.764
158.0,211,31.784
159.0,211,31.784
160.0,211,31.784
161.0,211,31.784
162.0,211,31.784
163.0,211,31.784
164.0,211,31.792
165.0,211,31.952
166.0,211,31.952
167.0,211,31.952
168.0,211,32.572
169.0,211,32.572
170.0,211,32.572
171.0,211,32.572
172.0,211,33.092
173.0,211,33.092
174.0,211,33.416
175.0,211,33.416
176.0,211,33.416
177.0,211,33.416
178.0,211,33.416
179.0,211,33.416
180.0,211,33.416
181.0,211,33.416
182.0,211,34.016
183.0,211,34.392
184.0,211,34.472
185.0,211,34.572
186.0,211,34.572
187.0,211,34.572
188.0,211,34.572
189.0,211,34.928
190.0,211,35.176
191.0,211,35.256
192.0,211,35.256
193.0,211,35.356
194.0,211,35.356
195.0,211,35.376
196.0,211,35.376
197.0,211,35.376
198.0,211,35.376
199.0,211,35.376
200.0,211,35.656
